"Feature","icc_matrix"
"wavelet.LLH_firstorder_TotalEnergy",0.999330734070758
"wavelet.LLH_firstorder_Uniformity",0.954650250711373
"wavelet.LLH_firstorder_Variance",0.130222778655241
"wavelet.LLH_glcm_Autocorrelation",0.401966257512882
"wavelet.LLH_glcm_ClusterProminence",0.00276625488836047
"wavelet.LLH_glcm_ClusterShade",0.0177424101195016
"wavelet.LLH_glcm_ClusterTendency",0.122246053373038
"wavelet.LLH_glcm_Contrast",0.129410249333768
"wavelet.LLH_glcm_Correlation",0.860089023800764
"wavelet.LLH_glcm_DifferenceAverage",0.454937452718646
"wavelet.LLH_glcm_DifferenceEntropy",0.884358367304074
"wavelet.LLH_glcm_DifferenceVariance",0.242631448795023
"wavelet.LLH_glcm_Id",0.824821153801575
"wavelet.LLH_glcm_Idm",0.801523232503562
"wavelet.LLH_glcm_Idmn",0.837544276185596
"wavelet.LLH_glcm_Idn",0.833527475180863
"wavelet.LLH_glcm_Imc1",0.65408162662605
"wavelet.LLH_glcm_Imc2",0.927479915524782
"wavelet.LLH_glcm_InverseVariance",0.954277446923063
"wavelet.LLH_glcm_JointAverage",0.811443534736296
"wavelet.LLH_glcm_JointEnergy",0.969992967213641
"wavelet.LLH_glcm_JointEntropy",0.960000412149017
"wavelet.LLH_glcm_MCC",0.896171711853745
"wavelet.LLH_glcm_MaximumProbability",0.955358145802022
"wavelet.LLH_glcm_SumAverage",0.811443534637076
"wavelet.LLH_glcm_SumEntropy",0.95417484890407
"wavelet.LLH_glcm_SumSquares",0.125304278709462
"wavelet.LLH_gldm_DependenceEntropy",0.796027308718385
"wavelet.LLH_gldm_DependenceNonUniformity",0.999434757379189
"wavelet.LLH_gldm_DependenceNonUniformityNormalized",0.301519769098163
"wavelet.LLH_gldm_DependenceVariance",0.937003611444491
"wavelet.LLH_gldm_GrayLevelNonUniformity",0.999537420637794
"wavelet.LLH_gldm_GrayLevelVariance",0.112240973650253
"wavelet.LLH_gldm_HighGrayLevelEmphasis",0.385168734875346
"wavelet.LLH_gldm_LargeDependenceEmphasis",0.961501411826487
"wavelet.LLH_gldm_LargeDependenceHighGrayLevelEmphasis",0.985912392835454
"wavelet.LLH_gldm_LargeDependenceLowGrayLevelEmphasis",0.972455973285204
"wavelet.LLH_gldm_LowGrayLevelEmphasis",0.974747704215962
"wavelet.LLH_gldm_SmallDependenceEmphasis",0.374650941342049
"wavelet.LLH_gldm_SmallDependenceHighGrayLevelEmphasis",0.0594079324000959
"wavelet.LLH_gldm_SmallDependenceLowGrayLevelEmphasis",0.245275784202581
"wavelet.LLH_glrlm_GrayLevelNonUniformity",0.999426874167366
"wavelet.LLH_glrlm_GrayLevelNonUniformityNormalized",0.966498756462561
"wavelet.LLH_glrlm_GrayLevelVariance",0.122822566708625
"wavelet.LLH_glrlm_HighGrayLevelRunEmphasis",0.391524536092971
"wavelet.LLH_glrlm_LongRunEmphasis",0.969057043021353
"wavelet.LLH_glrlm_LongRunHighGrayLevelEmphasis",0.949566174272621
"wavelet.LLH_glrlm_LongRunLowGrayLevelEmphasis",0.973167300759775
"wavelet.LLH_glrlm_LowGrayLevelRunEmphasis",0.978570719788461
"wavelet.LLH_glrlm_RunEntropy",0.930285658898318
"wavelet.LLH_glrlm_RunLengthNonUniformity",0.997936562503428
"wavelet.LLH_glrlm_RunLengthNonUniformityNormalized",0.901498310693919
"wavelet.LLH_glrlm_RunPercentage",0.933756636997323
"wavelet.LLH_glrlm_RunVariance",0.965449504689276
"wavelet.LLH_glrlm_ShortRunEmphasis",0.942377642022087
"wavelet.LLH_glrlm_ShortRunHighGrayLevelEmphasis",0.273218477728628
"wavelet.LLH_glrlm_ShortRunLowGrayLevelEmphasis",0.967594179473548
"wavelet.LLH_glszm_GrayLevelNonUniformity",0.997498654981995
"wavelet.LLH_glszm_GrayLevelNonUniformityNormalized",0.964441805169544
"wavelet.LLH_glszm_GrayLevelVariance",0.443489631680728
"wavelet.LLH_glszm_HighGrayLevelZoneEmphasis",0.441217556027491
"wavelet.LLH_glszm_LargeAreaEmphasis",0.999726075786856
"wavelet.LLH_glszm_LargeAreaHighGrayLevelEmphasis",0.999818849128041
"wavelet.LLH_glszm_LargeAreaLowGrayLevelEmphasis",0.998018109843894
"wavelet.LLH_glszm_LowGrayLevelZoneEmphasis",0.93476387553181
"wavelet.LLH_glszm_SizeZoneNonUniformity",0.988034805685307
"wavelet.LLH_glszm_SizeZoneNonUniformityNormalized",0.726684446483545
"wavelet.LLH_glszm_SmallAreaEmphasis",0.81821441232591
"wavelet.LLH_glszm_SmallAreaHighGrayLevelEmphasis",0.15094514604043
"wavelet.LLH_glszm_SmallAreaLowGrayLevelEmphasis",0.875351929353554
"wavelet.LLH_glszm_ZoneEntropy",0.971108507681599
"wavelet.LLH_glszm_ZonePercentage",0.412381358664551
"wavelet.LLH_glszm_ZoneVariance",0.999767433910792
"wavelet.LLH_ngtdm_Busyness",0.830605458036222
"wavelet.LLH_ngtdm_Coarseness",0.704002036479467
"wavelet.LLH_ngtdm_Complexity",0.162201764763462
"wavelet.LLH_ngtdm_Contrast",0.0850764548899891
"wavelet.LLH_ngtdm_Strength",0.122878592336294
"wavelet.LHL_firstorder_10Percentile",0.988962911560391
"wavelet.LHL_firstorder_90Percentile",0.942754840577806
"wavelet.LHL_firstorder_Energy",0.999340148297625
"wavelet.LHL_firstorder_Entropy",0.980848949262597
"wavelet.LHL_firstorder_InterquartileRange",0.991069604623376
"wavelet.LHL_firstorder_Kurtosis",0.890794764665539
"wavelet.LHL_firstorder_Maximum",0.968050778411504
"wavelet.LHL_firstorder_MeanAbsoluteDeviation",0.990797596997539
"wavelet.LHL_firstorder_Mean",0.875912255664684
"wavelet.LHL_firstorder_Median",0.917937732074485
"wavelet.LHL_firstorder_Minimum",0.972423953377518
"wavelet.LHL_firstorder_Range",0.978580494536422
"wavelet.LHL_firstorder_RobustMeanAbsoluteDeviation",0.991529178889796
"wavelet.LHL_firstorder_RootMeanSquared",0.850911720385345
"wavelet.LHL_firstorder_Skewness",0.925763518907394
"wavelet.LHL_firstorder_TotalEnergy",0.999340632271821
"wavelet.LHL_firstorder_Uniformity",0.963164486234535
"wavelet.LHL_firstorder_Variance",0.988391507591843
"wavelet.LHL_glcm_Autocorrelation",0.960858566348252
"wavelet.LHL_glcm_ClusterProminence",0.875596247365014
"wavelet.LHL_glcm_ClusterShade",0.881668361183625
"wavelet.LHL_glcm_ClusterTendency",0.979920623649509
"wavelet.LHL_glcm_Contrast",0.976012316700413
"wavelet.LHL_glcm_Correlation",0.934367481536643
"wavelet.LHL_glcm_DifferenceAverage",0.986938889267064
"wavelet.LHL_glcm_DifferenceEntropy",0.979281167983009
"wavelet.LHL_glcm_DifferenceVariance",0.966341694915356
"wavelet.LHL_glcm_Id",0.979876308199895
"wavelet.LHL_glcm_Idm",0.981244267485302
"wavelet.LHL_glcm_Idmn",0.869706555460183
"wavelet.LHL_glcm_Idn",0.922185277441945
"wavelet.LHL_glcm_Imc1",0.865265932631431
"wavelet.LHL_glcm_Imc2",0.967255454077751
"wavelet.LHL_glcm_InverseVariance",0.948307764307984
"wavelet.LHL_glcm_JointAverage",0.969910028143825
"wavelet.LHL_glcm_JointEnergy",0.889935732900263
"wavelet.LHL_glcm_JointEntropy",0.97462351400027
"wavelet.LHL_glcm_MCC",0.955507679326675
"wavelet.LHL_glcm_MaximumProbability",0.904954391245658
"wavelet.LHL_glcm_SumAverage",0.969910028160335
"wavelet.LHL_glcm_SumEntropy",0.970190855844732
"wavelet.LHL_glcm_SumSquares",0.979204276029249
"wavelet.LHL_gldm_DependenceEntropy",0.82433813739556
"wavelet.LHL_gldm_DependenceNonUniformity",0.999391690582294
"wavelet.LHL_gldm_DependenceNonUniformityNormalized",0.75677830826877
"wavelet.LHL_gldm_DependenceVariance",0.960946396299641
"wavelet.LHL_gldm_GrayLevelNonUniformity",0.999433685784747
"wavelet.LHL_gldm_GrayLevelVariance",0.988145608476599
"wavelet.LHL_gldm_HighGrayLevelEmphasis",0.961686237341894
"wavelet.LHL_gldm_LargeDependenceEmphasis",0.963416172557177
"wavelet.LHL_gldm_LargeDependenceHighGrayLevelEmphasis",0.886078628600331
"wavelet.LHL_gldm_LargeDependenceLowGrayLevelEmphasis",0.699978229642047
"wavelet.LHL_gldm_LowGrayLevelEmphasis",0.845189536533025
"wavelet.LHL_gldm_SmallDependenceEmphasis",0.932901848738903
"wavelet.LHL_gldm_SmallDependenceHighGrayLevelEmphasis",0.992549695599335
"wavelet.LHL_gldm_SmallDependenceLowGrayLevelEmphasis",0.357877622715091
"wavelet.LHL_glrlm_GrayLevelNonUniformity",0.99946871071677
"wavelet.LHL_glrlm_GrayLevelNonUniformityNormalized",0.964490512387765
"wavelet.LHL_glrlm_GrayLevelVariance",0.988024380881548
