Label,log.sigma.1.mm.3D_glcm_MCC,wavelet.LHH_glrlm_RunEntropy,log.sigma.1.mm.3D_glcm_Imc1,wavelet.HLH_glcm_Correlation,wavelet.LLH_glszm_GrayLevelVariance,wavelet.HLL_firstorder_90Percentile,log.sigma.2.mm.3D_glcm_Imc1,wavelet.LLH_glcm_Correlation,wavelet.HLL_glszm_ZonePercentage,wavelet.LLH_firstorder_Kurtosis
0,-0.800758422,1.521707,1.014386412,0.233935021,0.013748258,1.247447215,-1.059065328,0.006724016,-0.037184159,-0.558158527
0,1.613271481,-0.239696548,-1.403719845,1.095553864,1.14727666,-1.073060137,0.346042881,0.624019644,-0.754675578,-0.835034945
1,2.152344153,-0.125107351,-1.755015844,-0.039005628,1.387661562,-0.968505602,-0.107079055,3.136939376,-0.113767711,1.194207634
0,-0.575947742,0.995120264,0.666324023,-0.555637344,-0.274040903,-0.224949826,-0.325497977,-0.204192185,-0.17753903,-0.495237122
0,-0.389616047,0.075323217,0.595845514,-0.060735123,-0.289257599,0.672892935,-1.466789009,-0.376346971,0.06983966,-0.190090993
1,0.196930286,0.920817335,-0.021379604,0.200551659,0.109162233,-0.228496785,-1.400909999,-0.554393747,-0.641441549,0.252746258
0,0.036824825,-0.632820889,0.069676721,-0.15730669,-0.278105337,-0.605381315,0.516796306,-0.018514517,-0.477196612,0.541446236
0,-0.924138301,1.289465991,0.766741619,-0.632711503,-0.151882226,-0.60726803,-0.437674072,-1.25398253,-0.321404942,0.091612292
1,1.468013515,-0.611797567,-1.169176456,0.922137097,1.473155302,-1.165808975,0.301083307,1.630745551,-0.039154387,0.383562401
0,-0.566686317,0.673891301,0.755528719,0.343143737,0.18763029,1.501274613,-0.650731745,-0.445711783,0.233407013,-0.942748421
1,-0.951703119,0.363128406,1.086547105,0.339528245,-0.027205849,1.439716834,0.716945168,-0.655896386,0.439653061,0.479252916
1,2.022814986,0.331421784,-2.173519787,0.099888047,0.346940988,-0.836570714,-0.943470225,0.166950724,-1.151969063,0.364349262
0,-1.063537384,-1.097386143,0.95473128,0.679021267,-1.121630507,-0.370059361,0.235675608,0.266102277,0.502930765,-1.712415591
1,0.572838285,1.525847184,-0.390196055,0.049799398,0.41485124,0.131284155,-2.95983945,-0.120365158,-1.017166209,0.325873268
1,1.349942405,0.482151848,-2.606913396,1.803638462,6.233099983,-0.918714834,-3.229894416,3.564412561,2.527675629,-0.709821999
1,-0.441995577,-1.294006903,0.176952603,1.639657432,-0.977359482,-1.519596412,0.858243352,-0.434592767,0.151074757,0.26362871
0,-0.03310989,-0.420064286,0.086093142,1.421483011,-0.478554977,1.901305155,-0.334763565,0.918166783,1.819280468,0.587440988
1,2.556322151,0.881771389,-3.457008953,0.097006924,0.784326905,-0.411492154,-1.461776361,1.205733544,-1.82941875,0.973187501
0,1.426381249,-0.213655282,-1.435168011,0.155030357,0.100489205,-1.648832444,0.055650817,0.810245158,-1.32594625,1.02057654
0,-0.060465116,-0.676415234,0.287784537,0.664561344,-0.094818771,-0.719965428,0.924441652,0.113579489,-0.28814265,-0.01788063
1,-0.95534646,1.168601769,1.07820365,0.436333418,-0.060102591,1.292036217,-0.740427916,-0.606671216,0.144120997,0.79499871
1,0.067402296,-1.815265269,-0.158698972,0.077012012,-0.62621235,-0.026981262,-4.31388638,-0.744259273,-1.377303467,2.501710969
0,-0.898033201,-0.304039479,0.847231769,-0.232867089,-0.619518123,-0.857195784,0.045105369,-0.298254374,-0.39537601,-0.766096279
1,0.626500817,0.628005967,-0.607392727,-0.172226015,-0.128861612,-0.664307894,-1.141164974,-0.362089581,-1.266002069,0.220430039
1,0.784689473,-0.399834746,-0.682710455,-1.16067562,-0.186226479,-0.170078909,0.422242733,-0.259260399,-0.922009325,-1.647933429
1,-0.545556743,1.574404981,0.813025219,-0.120126892,0.232233131,0.592829727,-1.565798605,-0.317852287,-0.177936532,-0.043038726
1,1.659117034,-1.139783403,-1.346865514,0.410702533,3.145066717,-0.458916255,-0.175736589,3.296851059,-0.360830142,1.898036165
0,-0.858829002,-1.048536756,0.735788108,0.480447967,-0.512185098,0.273020859,1.031083249,-0.713048408,1.31130599,-0.287756858
1,1.023211333,-0.243476955,-0.66117129,0.171163024,-0.046087332,-1.176009545,0.298571746,-0.028521496,-0.657775273,1.08078076
0,-0.453436849,-0.733907128,0.486260175,0.671705111,-0.392966973,-0.483655388,-0.504518527,-0.293503075,-0.200302843,-0.366078006
0,1.174746458,0.970470605,-0.810926643,0.285229781,0.614642891,0.558949925,-1.31945374,-0.46609773,-0.76088464,-0.517747639
0,-1.153756516,-0.525292206,1.152353744,-0.213509519,0.000963233,3.376020285,0.440455071,-0.376714186,0.840651868,1.31265414
1,-0.893891287,0.800546475,0.682511852,-0.756888111,-0.393850417,-0.614821295,0.657046836,0.045583028,-0.315901623,-1.008168115
0,-0.420429524,-1.875906884,0.346010573,1.649084055,-0.296619205,-0.117686655,0.224554558,-0.245887578,1.62528886,1.620939469
0,0.464150235,0.787932464,-0.175382518,-0.281483892,0.456880568,0.313303128,-1.728210611,-0.239192793,-0.619304052,-0.051467469
0,-0.456299881,-2.05578778,0.235848489,0.15845834,-1.166291271,0.401911882,1.664332684,0.220006374,0.741447468,-0.367510994
0,1.446431571,-0.33922586,-1.05991578,0.191350573,0.119737119,-0.160691369,-0.323653829,-0.342462664,-0.953235771,-0.66161391
