Label,log.sigma.1.mm.3D_glcm_MCC,wavelet.LHH_glrlm_RunEntropy,log.sigma.1.mm.3D_glcm_Imc1,wavelet.HLH_glcm_Correlation,wavelet.LLH_glszm_GrayLevelVariance,wavelet.HLL_firstorder_90Percentile,log.sigma.2.mm.3D_glcm_Imc1,wavelet.LLH_glcm_Correlation,wavelet.HLL_glszm_ZonePercentage,wavelet.LLH_firstorder_Kurtosis
0,-0.456299881,-2.05578778,0.235848489,0.15845834,-1.166291271,0.401911882,1.664332684,0.220006374,0.741447468,-0.367510994
0,-0.712396572,-0.313560116,0.689839086,-0.087951028,-0.922705976,2.311004444,1.400360735,0.018866556,1.437994817,-1.504165958
0,-0.318171905,0.731141389,0.614563231,0.587319578,-0.152424601,0.259914697,-0.807265835,0.129538635,0.13760395,-0.112360937
1,0.130980567,1.488355353,0.288275154,-0.035373416,0.433573711,0.328104935,-2.575296048,-0.141671403,-0.684383411,0.011155709
0,-0.641299664,1.105518133,0.909328804,-0.165425623,0.324986997,1.176441881,-0.296427389,-0.596162546,-0.043233993,0.485688872
1,1.87722513,-0.768790072,-1.531699139,-0.185946033,2.168007376,-1.321979553,-0.992146271,3.39956722,0.737805794,0.114629719
1,2.152344153,-0.125107351,-1.755015844,-0.039005628,1.387661562,-0.968505602,-0.107079055,3.136939376,-0.113767711,1.194207634
0,-0.77231647,1.109964923,0.821305337,-0.128961075,-0.064120993,-0.006444098,-1.645473119,-0.63591228,-0.55950862,-1.064654663
0,-0.609077712,0.918368807,0.71644621,-1.214573493,0.441335079,1.139607683,0.883405559,-0.544209701,0.666978372,2.039299843
1,1.348607048,-1.106990535,-1.243424194,1.006028301,1.109236647,-1.438405592,-0.092116796,2.541918433,-0.848855394,-0.365111277
0,-1.116582726,0.573782602,1.207499816,0.499070289,-0.358559485,1.202834153,-0.23343064,-0.525750418,0.749407994,-1.052878506
0,-1.159054916,-0.46492806,1.190890635,0.071037555,-0.460960803,1.046620832,0.002059971,-0.550218414,0.591010281,0.330727789
1,-0.051617962,-0.30512588,-1.062902942,0.143658069,0.312926984,-0.338374387,0.256757643,1.036329306,-0.609422156,-0.344594301
0,-0.259960487,2.697321475,-0.059631083,0.626728297,-0.145746633,-0.613168176,-1.191120001,1.269054924,-1.248640326,-0.726401879
1,-0.951703119,0.363128406,1.086547105,0.339528245,-0.027205849,1.439716834,0.716945168,-0.655896386,0.439653061,0.479252916
0,-1.006623533,0.309789275,0.889745265,-0.185469357,-0.333564922,2.219282809,-0.289845034,-0.2323222,0.212365938,-0.670476687
0,-0.693392843,-0.106291585,0.742957305,-0.10559633,0.479053172,-0.055215519,0.806532876,-1.136334117,-0.236779368,0.322735443
1,-0.545556743,1.574404981,0.813025219,-0.120126892,0.232233131,0.592829727,-1.565798605,-0.317852287,-0.177936532,-0.043038726
1,1.349942405,0.482151848,-2.606913396,1.803638462,6.233099983,-0.918714834,-3.229894416,3.564412561,2.527675629,-0.709821999
0,-1.0489038,-0.355032699,1.00669299,-0.083792245,0.048276203,1.171744158,-0.549644401,-0.811995616,0.406898796,-0.731255271
