Label,log.sigma.1.mm.3D_glcm_Correlation,wavelet.HHL_firstorder_Skewness,wavelet.HHH_glszm_GrayLevelVariance,wavelet.LLH_firstorder_Kurtosis,log.sigma.1.mm.3D_glcm_Imc1,log.sigma.2.mm.3D_glrlm_LowGrayLevelRunEmphasis,wavelet.LLH_glcm_Correlation,wavelet.HLL_glrlm_LongRunEmphasis,wavelet.LLH_glszm_GrayLevelVariance,original_glszm_LowGrayLevelZoneEmphasis
0,-0.430709747,1.065550955,-0.089379805,-0.489658647,0.654508144,-0.582710865,-0.202505069,-0.132813327,-0.271965122,1.151174762
0,-0.255013801,0.359522372,0.002706386,-0.185450696,0.58428358,-0.867199585,-0.373491671,-0.355236133,-0.287061979,-1.505058902
1,0.384688461,0.9697516,1.575566172,0.249865246,-0.012489937,-0.524431813,-0.560130869,0.589539118,0.113445975,-1.277790142
0,0.135699932,1.213857746,-0.693028277,0.539700801,0.079105602,-0.171369529,-0.017561965,-0.327133805,-0.280194248,0.494595487
0,-0.829624782,0.096239491,-0.392947295,0.095386488,0.754563918,0.130167143,-1.245171895,0.129174065,-0.150768504,0.503195664
1,1.491286651,-0.964566781,0.171249481,0.386438992,-1.174378728,-1.267277799,1.619981406,-0.42400859,1.461471067,-0.127735913
0,-0.391245615,-1.849519186,0.443352259,-0.935794065,0.74339142,-0.773397561,-0.442385797,-0.099004705,0.186070186,-0.98980528
1,-0.772201225,-0.332339499,0.494769171,0.477262849,1.101997654,-0.284674924,-0.662900622,-0.682229916,-0.025166102,0.113836742
1,1.839501927,0.491066861,0.016427854,0.361907231,-2.177374589,-1.116010702,0.17021854,0.901122963,0.355137482,0.967883843
0,-0.71974918,0.325020805,0.812414111,-1.723026396,0.969401246,2.109534389,0.270607856,-0.803460144,-1.137599984,2.203670451
1,0.751331099,-0.095138094,1.784342842,0.328927225,-0.398205121,-1.202678839,-0.119246864,0.926798485,0.411501661,1.376504044
1,1.36323753,-1.421917482,-0.337556494,-0.703583779,-2.606935268,-1.329530062,3.540527211,-1.945107104,6.183928877,-1.999231573
1,-0.305161068,0.26701481,-1.272807779,0.266874039,0.166900009,0.56344931,-0.431342231,-0.350292957,-0.969744727,0.503195664
0,-0.090455198,-0.382340165,1.984502147,0.589690751,0.076367929,0.777131677,0.912237954,-1.352470213,-0.474868548,0.114341999
1,2.588590148,0.331102734,0.880133145,0.97425128,-3.453967793,-1.366492044,1.197853385,1.30599962,0.778067527,-2.05072971
0,1.456582066,-0.42567885,-0.745283875,1.02149462,-1.439411873,-1.217246181,0.805048648,0.613688025,0.099615381,-0.723110457
0,0.002775117,0.65991012,-0.706443332,-0.021826129,0.298505002,-0.70962519,0.116181042,0.269525388,-0.093891623,-0.14002058
1,-0.62397515,-0.028244888,0.636071732,0.794250601,1.093604791,-0.603981387,-0.613060946,0.322892874,-0.058604173,-0.94728198
1,0.135113166,-0.334873112,-2.241762761,2.498075276,-0.167542159,0.361594451,-0.738907446,3.758367648,-0.621363048,-1.166796902
0,-0.779969943,-0.293422755,0.821841392,-0.759685043,0.834764049,0.095886132,-0.295928984,-0.113404947,-0.614721541,0.114341999
