Label,log.sigma.1.mm.3D_glcm_MCC,wavelet.LHH_glrlm_RunEntropy,log.sigma.1.mm.3D_glcm_Imc1,wavelet.HLH_glcm_Correlation,wavelet.LLH_glszm_GrayLevelVariance,wavelet.HLL_firstorder_90Percentile,log.sigma.2.mm.3D_glcm_Imc1,wavelet.LLH_glcm_Correlation,wavelet.HLL_glszm_ZonePercentage,wavelet.LLH_firstorder_Kurtosis
0,-0.710426253,0.820241573,0.899038525,0.259351892,0.192998147,0.055007448,-1.675289011,-0.299831835,-0.611103173,-0.021544708
0,-1.017207995,-0.070139117,0.830412927,-0.265491086,-0.307616121,-0.186981546,1.028907175,-0.993964365,0.598616438,1.233880852
0,-0.489914117,1.585804678,0.696950128,0.011461173,0.278541457,1.543473198,-0.688098945,-0.557919584,-0.138652488,-0.489291986
0,-0.471098582,0.127155722,0.460679838,0.274554989,-0.284923117,0.541976928,-0.257998923,-0.181924305,0.289244494,-0.858740996
0,-0.595774603,-1.39810282,0.4993417,-0.716703596,-0.714841244,1.952429722,1.625285182,-1.345205265,0.637308141,-0.950080324
1,1.616012865,-0.519943354,-1.25905409,0.529580167,1.62717719,-1.191579903,0.326676738,1.760938236,-0.035728756,0.382328047
0,0.21421815,-0.152780456,-0.167631129,0.171422478,-0.649524238,-0.567837197,0.378469258,-1.042634839,-0.199747407,-0.35089731
1,-0.369675383,0.699873235,-0.126526032,0.419418664,-0.742426856,-0.210273313,1.107320033,0.85356034,-0.312579582,-0.244200268
0,-0.732730863,0.417991472,0.923491898,-0.16125259,0.699356469,0.143090396,0.42838353,-0.878098711,0.36492476,0.218615014
1,2.082486767,0.68680457,-1.437063595,0.291948509,4.436608083,0.290785298,0.74058927,2.477752973,-0.810385782,1.870655474
0,-0.831817082,-0.916572658,0.706698487,0.281695449,-0.598960358,0.27124257,1.118766099,-0.801212348,1.096297814,-0.29684577
0,-0.760827525,0.215393865,0.662024365,0.161982732,-0.507009693,0.670791209,1.044234957,0.489480687,0.73860518,0.357145299
0,0.374681482,0.808374917,-0.113596083,-0.371949301,0.431427031,0.318829042,-1.592581411,-0.194685643,-0.687204763,-0.042073392
0,-0.977681511,0.907937204,0.905422416,0.257105428,-0.387167846,0.065356624,1.034810055,-0.431469161,-0.207303693,-0.560291333
1,1.730214202,-0.863810151,-1.437369509,-0.25166747,1.947830866,-1.295377401,-0.91307589,3.136425374,0.833387201,0.122601367
0,1.075417308,-6.956648946,-3.262310283,9.111361904,-1.783437068,-0.180311184,-0.744506516,-0.519795531,6.599366123,-3.291272602
0,-1.064513222,-0.149832562,1.006151515,-0.273950789,-0.707476841,0.322760922,-0.00598629,-0.627655204,0.367207136,-1.381251777
0,-0.661672843,-0.07937272,0.702410115,-0.715247008,0.145526388,1.053259857,0.570220501,-0.753259642,0.556829611,1.710687332
1,-0.44261496,0.773849448,0.537784807,0.073569279,-0.16199044,1.820148584,0.103162688,0.514074312,-0.251979,-0.62730623
0,0.078293847,-0.688609737,-0.081568801,-0.012623706,-0.242641831,-0.015533268,1.339314662,-0.098189644,-0.614481879,0.74794079
0,-1.578127831,-2.195631186,1.358684513,0.026792071,-1.092880546,1.102385476,1.729809934,-0.508045093,1.445923675,0.272139947
0,-0.730681965,0.140394778,0.841935867,0.459528579,-0.872493399,1.317605504,-0.229225722,-0.317537273,-0.333969427,-0.693254299
0,-0.49639968,-3.192758475,0.287322556,0.938313476,-0.850909338,0.674636684,1.820106284,-1.264274702,3.124793742,-0.473443732
0,0.281949698,-0.463996884,-0.222970877,-0.107748774,-1.051207874,-0.072361886,0.09996256,-0.423411943,-0.465478492,1.095288213
0,-0.610943644,-1.675743332,0.869849857,-0.022968142,-1.303055441,1.283541823,1.304075691,-0.442550427,2.165191394,-0.958648111
0,1.237065223,0.387886141,-0.886287072,-0.579223624,-0.129784238,-1.252415059,0.280351014,-0.205558897,-0.471611601,-0.832070207
1,-1.014881998,0.437382183,0.970332432,0.390710433,0.218362147,2.374190702,0.702431919,-0.228255823,0.088703363,1.083266247
0,0.189806542,-0.199888519,-0.305522032,0.019171239,-0.256170244,-0.698198029,-0.440899654,-0.23027516,-0.20547174,-1.825997178
1,0.778197048,-0.815969147,-0.728235491,0.307231887,0.634623018,-1.226159537,0.532095821,0.978993154,-0.242519212,1.059725825
