batch,Label,log.sigma.1.mm.3D_glcm_MCC,log.sigma.3.mm.3D_glszm_SizeZoneNonUniformityNormalized,wavelet.HHL_gldm_SmallDependenceHighGrayLevelEmphasis,wavelet.LLH_glcm_MCC,wavelet.HHH_glszm_GrayLevelVariance,log.sigma.2.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,wavelet.LLH_glszm_SmallAreaEmphasis,wavelet.HHL_glszm_GrayLevelNonUniformityNormalized,wavelet.HHH_glszm_SmallAreaEmphasis,original_shape_Flatness
1,0,-0.151706874,-0.90691741,-1.235567803,-0.190767539,-0.29714992,-0.467506166,-0.28865452,1.538917397,0.267405487,0.046414418
1,0,-0.697984937,0.161997342,1.544383923,0.617153634,0.25627802,0.026946668,0.80615991,-1.045131986,-0.424488591,-0.11457448
1,0,-0.563264407,-0.107543583,1.41446029,-0.023097412,1.146410884,-0.088652454,0.215561268,-0.11880117,-0.46823143,0.349894583
1,1,0.510794707,-0.080971607,-0.379932324,-0.879185316,-0.025186463,-0.588689914,0.916676873,-0.70303733,1.767461499,0.389062239
1,1,0.062915346,-0.791298634,0.660845368,-1.558080315,-0.555757028,-0.167972905,1.485462225,-1.084201404,-0.407841765,-1.118514678
1,1,1.027173657,-0.16997988,-0.895085619,-0.574008061,0.041607508,-0.524150346,0.52765933,0.164540937,-0.598876712,-1.047282815
1,0,-0.716723321,-0.587167879,0.3494071,-0.543393822,-0.818975303,-0.315279611,-0.056336113,-0.721479378,-1.91400113,0.387339095
1,0,-0.6152036,-0.595681921,0.356985488,0.757256065,-0.724660489,-0.203947492,-0.299722702,-1.003963941,-2.68680246,0.917142742
1,0,0.144748763,-0.644722794,-0.388690046,-0.455739606,-1.141675557,-0.450331401,2.081817487,0.352184066,-2.233320941,0.042842434
1,1,0.062133396,-1.16271703,-0.244511132,-0.156473108,-1.206093076,-0.626073472,0.082043622,-0.358785648,-0.29273218,-1.98266079
1,1,0.778420448,-0.416831357,-0.531291468,-0.740212538,0.025472322,-0.212071722,0.772735325,0.277023852,1.528925139,0.288193012
1,1,2.363688615,0.730576524,-0.977148564,0.534155346,0.257403249,-0.488150483,0.111370961,1.846627168,0.39565536,0.561981371
1,1,2.194409739,1.567887523,-0.351215522,0.862871012,0.125060688,-0.653888499,-0.071578212,0.435451502,0.937553338,1.659930325
1,0,-0.172145159,0.558057473,-0.088783889,1.69740263,-2.61973635,0.137130578,2.604813295,2.776753727,-0.884730983,0.484865562
1,1,1.424035229,0.324694002,-1.088689522,0.1770229,-1.271636253,-0.572770167,0.233862518,0.022917328,-1.317350803,0.81188157
1,0,-0.50121749,-0.538226621,-0.896906733,0.281156924,-0.073103178,-0.424774054,0.218656866,1.133119129,-0.513365189,-0.690460225
1,0,-0.73999144,-0.644722794,1.355945757,0.797468556,0.315942413,0.001066955,0.490298066,-1.110179435,1.976370224,0.899575801
1,0,0.912590804,-0.79245086,-0.724076731,0.256366429,-0.690918447,-0.588935979,-0.215420983,1.626187123,-0.733382719,1.263862999
1,1,0.141840043,-0.619231342,0.984403986,-1.264504779,1.697765555,-0.394755955,0.386586746,-0.916936707,0.484530511,-0.334520721
1,1,0.482503121,-0.792293355,-0.282233614,0.064776766,-0.426458531,-0.629424753,-0.15950689,-0.300384244,0.809879557,-0.396626592
1,1,1.151688265,-0.38317147,-0.750206542,-0.77394386,-0.170428321,-0.63037939,1.24186063,0.560758512,0.749232086,0.028102603
1,0,0.801109831,-0.873363447,0.003396185,-0.569506617,0.312304657,-0.465800222,0.9386572,-0.299124586,-1.079364042,1.077534931
1,1,0.118644114,-0.499405371,1.269488326,-1.20321233,1.231326039,-0.420892962,0.386811403,-1.078473595,0.805363613,-0.379334712
2,1,1.480717024,0.834540569,-1.274814545,0.472837761,-1.082313791,-0.171183365,0.531612012,0.980796745,-1.598810616,1.73934073
2,0,-0.793322817,-0.628392738,-1.038073614,-0.043818608,0.842155516,-0.348952906,0.503723017,0.101003279,0.404597168,1.348401024
2,1,-0.415302846,0.518539634,-0.053560846,-0.671054674,1.930574173,1.694554025,-1.351142106,-0.88064316,-0.337401352,-0.236611937
2,1,-0.438176913,0.182524289,-1.259265912,-0.180570325,-1.192240922,-0.333566641,-1.491815557,3.141869901,0.218525833,1.109206359
1,0,-0.644556612,0.161997342,0.468625064,-0.285418278,-0.382773772,0.010371902,-0.823527385,-0.912844556,-0.267869852,0.092620525
1,0,-1.091569984,0.491986779,-1.337644956,0.271399499,-2.110391778,0.294749008,-1.86242472,1.362782603,-0.174800625,0.322523505
1,0,0.221569949,0.506375507,-0.386021114,0.74884613,-0.371022862,-0.444409066,0.244757498,-0.436177235,-1.477122264,1.793576002
1,0,-0.661321442,0.506375507,-0.034167555,0.380583359,-0.456200266,-0.443335922,-0.691144707,0.192130481,0.399683261,0.74158471
1,0,-0.742821896,-0.747042644,1.237305576,0.72973659,-0.024110817,0.286010965,-0.311230278,-1.473095608,0.70655125,-0.950244518
1,1,0.183417255,-0.553785349,1.021986636,-0.332018567,1.613024364,-0.310422896,0.683746625,-1.654765376,1.355719908,-0.664370488
1,1,0.994957019,-0.171120964,-0.385420492,-0.869789465,-0.148238084,-0.519715046,0.202674439,-0.025347112,-0.212435158,-1.615854626
1,1,0.886635199,0.189729223,1.561440784,-0.314058681,1.258187652,-0.491828538,-0.221192843,-0.665317266,1.078411839,0.914222644
1,1,-0.380581764,-1.102319892,-0.930492772,-1.099436045,0.575793506,-0.465586428,0.662122048,0.451456614,0.615886782,1.735976957
1,1,0.975514303,-0.216649952,0.599867468,0.03578617,0.806708392,-0.599696101,0.081008472,-0.576817219,1.219356516,0.037961841
1,0,-0.294566389,1.81095358,-1.528348242,0.786240987,0.619379153,0.23031472,-0.520430389,0.404082004,-0.183011247,1.055157133
1,0,-1.377463279,0.531955468,0.510715126,0.437223592,0.690692416,0.885026577,-2.516450842,-0.783063111,-0.55663941,0.69741577
1,0,-0.65455492,2.290577875,2.835234105,1.571487296,1.251476294,4.175103256,-1.324092043,0.080841943,0.973596046,-2.399618681
1,0,-0.057877958,0.851704998,-1.377908613,3.17785605,-4.3713796,0.026491393,1.26033411,2.211587559,-0.795987833,-0.758496161
1,0,-0.856870677,0.276155847,-1.077964676,4.854989982,-1.884119055,-0.728939477,-1.184780808,0.409658386,-1.438523575,-1.443048776
1,1,-0.948302273,-0.69868733,1.851676791,-0.715406017,0.642942106,-0.164555552,0.271319683,-1.512911074,1.258396717,-0.676792744
1,1,0.022616179,-0.42371192,-1.159261584,-0.46617656,-0.025750174,-0.223235979,0.289259953,2.075276754,-0.555104578,1.172956524
1,1,1.202240461,-0.291128395,1.127039687,0.39765923,0.107796244,-0.438972162,-0.138161246,-0.464952415,-0.54474088,-1.860347784
1,0,-0.166083479,1.81095358,-1.712786852,0.083524754,-0.323514097,-0.516267125,-2.564630937,1.477192835,0.792169932,-0.312386008
1,1,0.859010086,0.741202047,-0.605664682,0.430222188,-1.341610545,-0.533108649,0.659228695,0.253654506,-1.577705541,0.101856847
1,1,0.466304532,0.531955468,-1.436277101,-0.390997867,-0.608821302,-0.661174542,-2.200004474,0.929347048,-0.148887094,1.252398292
1,0,-0.590300007,3.729450753,-0.641827575,-0.891631931,0.609367806,0.372734319,0.304188917,0.124990304,1.534382568,0.227049274
1,0,0.522845937,1.81095358,-1.190465278,1.596379956,0.44979662,-0.180657526,-2.566120038,0.368675036,-1.43742176,0.887973265
1,0,-0.265322349,-0.590430633,-0.978607531,-0.617803701,1.430891498,-0.063268165,-0.193693099,0.364811447,-0.467078854,0.200016284
1,0,0.146817624,1.81095358,-2.012038281,0.322278312,-2.344874816,0.457437712,-0.685682875,1.8395293,-2.79603045,0.696569223
1,0,-0.206790694,0.851704998,-0.575702141,0.20865285,-0.53164691,0.952445928,-0.695339095,0.767853207,-1.206721261,-0.010543298
1,1,-0.865665499,-0.234790847,-0.507045333,-0.66114372,0.172059055,-0.168622753,0.390902197,0.079295272,-0.973776761,0.416753995
1,1,-0.01548371,-0.241759435,-0.192770448,-0.257940037,0.84273525,-0.503000494,0.50735421,-0.585750848,-0.094584196,1.505139276
1,1,-0.202464061,1.81095358,-1.891025312,0.716740952,1.920225395,0.353590558,-1.730826617,0.489098942,-1.314422139,1.362466715
1,1,-0.166686074,-0.17859904,1.824854179,0.481494635,1.226531103,-0.553652564,0.112966837,-1.476385553,0.979943754,0.193795673
1,1,-0.402897171,-0.462820842,-0.428310287,0.198056795,2.234245081,0.762057058,0.169605442,-0.245782023,0.011524504,0.415985332
1,1,-0.098775127,0.352261517,-1.148566322,0.272872583,0.902026044,1.609434041,0.972797058,0.207630289,0.621271893,0.733254347
1,1,0.546788469,-0.606485623,0.900575428,-0.606772625,1.092132618,-0.538840997,0.041832264,-0.937076635,0.295809213,-1.519933733
1,1,0.851353516,-0.1658659,0.688287237,-0.619528402,1.023194289,-0.472346245,-0.614481588,-0.518864526,0.013767653,-0.274976943
2,0,-0.565130966,-0.766942,1.120700419,-0.424630758,0.443308705,-0.084265126,0.245928981,-0.549542575,0.878421118,-1.381100964
2,0,-1.013053667,-0.494134706,0.548693239,-0.388524624,0.09199,-0.243905382,0.005482619,-0.83230264,0.438206821,-1.62059308
2,0,-0.772259498,-0.685515351,-0.096451104,-0.849130079,0.152969564,0.243962914,-0.530026973,-0.317603614,0.262265526,-2.206453945
2,0,-0.770934589,0.087112524,-1.634795723,0.586565813,-1.200274311,-0.587801693,-1.022055427,0.757107828,-1.178536572,0.944720099
1,0,-1.148376465,-0.663794249,0.740915734,-0.717438324,-0.826578482,0.809819882,-0.192711976,-1.288582038,-1.248384084,-1.450912118
1,0,-0.60821114,-0.462820842,1.315647498,1.364493635,-0.48779443,-0.676563535,-1.06123214,-0.830159122,-0.205361341,1.225285216
1,0,-0.655159411,-0.747042644,3.074160247,-0.439238282,-0.032392159,-0.191761999,-0.056960157,-1.050532194,1.159573037,-1.616077613
