V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0.5441261063,0.2332607390,0.1323650221,0.4000460258,-1.4746000084,-0.7579780154,-0.0794245849,-0.4322445038,-0.1189528844,-2.6389310761
-0.2980089823,-1.2505593834,1.5334997965,1.5691004201,-0.3253868464,-0.3466333364,-0.1203045698,0.7638467741,-2.1763258202,0.0889153085
0.2513019581,0.8935340748,-0.8327796211,-0.3409584269,-0.1891358631,-0.3801591024,-0.7169869156,-0.0703165663,0.7964053533,-0.5728266528
0.1011007218,-0.0346716727,-0.4531554207,-0.6464913955,1.2125004659,-0.2362127938,-2.0079888689,-0.7510716630,0.6898451191,0.9727544851
0.1029668548,0.2325057595,-0.4771229351,-0.9953588165,1.0608603416,0.2816706468,-0.9121391215,-1.0343210015,1.2106309357,0.8142458806
-0.0076376365,0.6289547828,-0.6194367500,-0.3440206591,0.4580318070,0.9306118560,1.2009304363,-1.1480668426,0.3551298119,1.7369343875
-0.0045740057,0.8981326856,-1.0494501601,-0.9707142557,1.0839132832,2.0486727567,0.4220789539,0.8159187570,0.8078824808,1.3816178173
-0.0151220969,-0.2371920589,0.2137509334,-0.7924263228,0.5054995246,0.1194487657,-1.8102114303,0.8585880683,-1.0242541894,0.9899624824
-0.0128705617,0.5651605657,-0.6355640122,-0.4481686912,0.8052413402,0.4217880940,-1.1661255669,-0.6637563920,0.4511641547,0.0962540848
-0.0039699023,0.6062080023,-0.7139649960,-0.8116252454,1.1187284302,0.6459395293,1.5537330193,-0.1729432665,0.2416662371,0.6476838402
0.5712128832,-0.0579839297,0.1946748349,0.0881948041,-0.1740714389,-0.7152779582,-0.5254286005,-0.7867367239,0.1567429491,-1.4213594175
0.4029718107,-0.6597376995,0.9753516626,-0.0610439549,-1.1231474471,-0.7315197078,-0.2756827477,0.0093329692,0.3388971851,0.3406172415
0.5534100936,-0.7704484450,0.8711493321,0.7238420432,0.1404374184,-1.3700508871,-0.7177462943,-0.8073422261,-0.1073172117,-1.6419253670
0.5825009531,0.3974618490,-0.3478752470,0.3695507284,-0.3159705234,-0.7070996588,-1.4499352653,0.1754686986,0.3391933202,-0.4916236361
0.4978950474,-0.8026926525,0.9566483557,0.7822012276,-0.4363099256,-0.9443094783,0.0176717398,-0.5406367913,-0.4673643172,-1.6501931460
-0.0081714886,-0.3882884995,-0.2827566892,-1.2493479295,-0.8507104847,-1.1953453346,-1.6761288515,-0.9835336394,0.5945478837,0.1987140664
