Label,log.sigma.1.mm.3D_glcm_Correlation,wavelet.HHL_firstorder_Skewness,wavelet.HHH_glszm_GrayLevelVariance,wavelet.LLH_firstorder_Kurtosis,log.sigma.1.mm.3D_glcm_Imc1,log.sigma.2.mm.3D_glrlm_LowGrayLevelRunEmphasis,wavelet.LLH_glcm_Correlation,wavelet.HLL_glrlm_LongRunEmphasis,wavelet.LLH_glszm_GrayLevelVariance,original_glszm_LowGrayLevelZoneEmphasis
1,-0.633995278,0.05572935,0.18003617,0.401756679,0.999299926,-0.314700318,-0.165367883,1.255618526,-0.109918141,2.160126063
1,0.384688461,0.9697516,1.575566172,0.249865246,-0.012489937,-0.524431813,-0.560130869,0.589539118,0.113445975,-1.277790142
1,0.751331099,-0.095138094,1.784342842,0.328927225,-0.398205121,-1.202678839,-0.119246864,0.926798485,0.411501661,1.376504044
1,0.038773795,-0.081053453,0.829565167,-0.514626709,0.221997453,-0.324044906,-0.684944121,1.390513101,-0.1492433,-1.077522598
0,-0.6092725,-2.015529386,-0.657989658,-0.362325215,0.225583683,2.322616793,0.218815023,-1.133654942,-1.157188586,1.19534005
0,-2.243774314,-0.795376015,-4.220142595,0.759858077,-1.057371828,2.545128536,-1.895079031,-0.909633316,0.134771382,1.188011269
0,-0.296324466,-2.235044107,-0.770568634,-1.037184243,0.198671937,0.184767885,-0.393474928,-1.498076481,-0.669398338,-0.381991734
1,1.930065774,-0.028117543,-0.424024455,-0.269777604,-1.907732333,-1.355107807,3.096721527,0.123105069,2.616346661,-2.089475599
1,-0.576791557,2.265801413,-0.508845227,-0.455846735,0.405515526,0.623444251,-0.909048637,-0.808149904,0.051178766,-0.43345237
0,-0.263182618,-2.094503281,-0.125223817,-1.484604536,0.460457337,0.572744554,0.506302611,0.365899453,-1.197613278,-0.718555152
1,0.971783869,-0.406775664,1.231917872,0.527871548,-0.774476331,-0.964241433,-0.579813392,1.882906358,0.785575954,1.122236336
0,-0.656135232,0.624681921,-0.98876064,0.646717593,0.443645616,-0.110850987,-0.472596436,-1.198500174,-0.320927452,0.503195664
0,1.663849932,-0.527309057,-0.762801098,-0.828411756,-1.408077019,-1.105745001,0.620086798,0.751437759,1.138158877,-0.20749865
1,0.950707422,0.141519139,-0.130161629,1.08115675,-0.656070319,-0.966103056,-0.027693867,0.634511234,-0.044358287,0.875017673
1,-0.188350728,0.423983807,0.571040405,0.44687377,0.4746129,-0.217700144,-0.094273194,0.326773974,0.410950219,-0.413458668
0,-0.359529865,-0.305206897,2.113679734,-0.034757626,0.876268056,-0.509335215,-0.357286016,0.622194812,0.193413119,-0.43345237
0,-0.828131507,-0.355372486,1.666735245,1.225555862,0.843178712,0.184018411,-0.883036813,-0.559036582,-0.25045003,0.114341999
0,-0.294639516,-0.098173177,0.686065768,-0.50840095,0.667985446,-0.511769208,-0.642729196,0.201255327,0.291529543,-0.98334089
0,-0.18251999,0.810400637,0.272324701,-0.882506937,0.424473235,-0.090144689,-0.226881142,-0.678178055,-0.354752778,-1.077522598
0,-0.768024771,-1.454899011,-1.758492434,-0.926511111,0.523501391,0.768207309,-1.202163294,-0.958705638,-0.610766181,1.19534005
