Label,log.sigma.1.mm.3D_glcm_MCC,wavelet.LHH_glrlm_RunEntropy,log.sigma.1.mm.3D_glcm_Imc1,wavelet.HLH_glcm_Correlation,wavelet.LLH_glszm_GrayLevelVariance,wavelet.HLL_firstorder_90Percentile,log.sigma.2.mm.3D_glcm_Imc1,wavelet.LLH_glcm_Correlation,wavelet.HLL_glszm_ZonePercentage,wavelet.LLH_firstorder_Kurtosis
0,-1.245811877,0.089242947,1.096896512,0.472517941,-0.133961399,1.259429504,1.16370777,-0.078084009,1.137668229,0.81936537
0,-0.367448009,0.137497252,0.604238371,0.274809946,-0.168110121,0.111817673,-0.427615527,0.109227628,-0.219203632,-0.592801202
1,0.463453961,0.601911548,-0.379117303,-0.19467313,-1.142777602,-0.063522151,0.036201888,1.067106726,-0.54003145,-1.844057735
1,2.321476291,0.361356522,-2.215024697,-0.233404191,1.638767459,-1.529139655,-0.145323529,2.500019436,-0.854131064,1.259109897
1,0.023688054,-0.267157457,-0.01891439,-0.376547927,-0.090823593,-0.502677047,-0.542905382,0.151670188,-0.756259754,-0.104413756
0,-1.032361906,0.617491407,0.920133469,-0.397281292,0.245780883,0.599947827,-0.046630678,-1.163672141,-0.017345995,0.915505624
0,-1.550291963,-0.499672489,1.40304234,-0.300515324,-0.488173572,1.479330031,0.39409886,-0.667557332,0.860893741,-0.100905044
0,-0.594213187,1.16871116,0.715212246,-0.048315284,-0.054334404,0.373092449,-2.450205314,-0.547950142,-0.867913149,0.039969113
0,1.128931919,-0.616492238,-0.901416273,0.083442264,-0.128537267,-1.129001124,0.644937709,0.677260221,-0.652488307,0.247790792
1,1.662659156,-0.332825181,-1.110417793,0.43250705,1.207041446,-0.267129112,0.43786555,1.918260839,0.753847242,1.076879835
1,1.973037063,-0.132681987,-2.032355164,-0.229740171,0.369948646,-0.669896703,-0.644963558,0.700251348,-0.396059346,0.127732372
1,-0.373801098,0.799770283,0.446375479,0.073847061,-0.216071258,1.788528133,0.07983712,0.463333457,-0.279771802,-0.658154267
0,-1.241618428,-0.001331264,1.211636047,0.269371913,-0.266135339,2.311508234,1.186783767,0.089570473,0.61691256,-0.226886594
1,1.974962218,0.52365606,-1.811721534,0.445423553,1.457998438,-2.163279416,-0.553293779,3.825330923,-0.482373254,0.277513769
1,2.316635925,0.315155462,-2.14729105,0.306700214,1.702211827,-0.51047727,-0.175408956,2.2340629,-1.109303244,0.645172922
1,-0.499448949,1.06675377,0.350876593,0.403368191,0.014909575,0.805211354,0.682347127,-0.849457171,1.518885921,-0.468240018
0,-0.593297891,0.621747726,0.818478355,0.204359804,0.239814768,1.551598036,-0.682768429,-0.458228786,0.220539277,-0.928652817
0,-0.00946397,-0.380184504,-0.620792268,0.262274534,-0.045443039,1.176675251,-0.723277332,1.173658209,0.080110873,-0.70719121
0,-0.333643946,2.258439373,0.429561376,0.201095912,0.343039258,-0.390065372,-0.687625601,0.175830354,-1.055978015,-0.610059594
0,-0.809620072,1.017772589,0.886353926,-0.060594799,-0.04247082,0.018737956,-1.762116541,-0.666149074,-0.444124107,-1.051985385
0,-0.631883968,-0.877351414,0.76539851,0.475327298,-0.186837695,2.075565866,-1.508467806,-0.183161958,1.243725563,1.139217334
1,-0.154790275,0.356342,0.432352507,0.465606114,0.206577008,1.154504699,-0.044931428,-0.782656097,0.36463234,0.393806177
1,-0.921476461,-2.943883975,0.765508721,0.620647094,-1.175746187,0.656224838,1.42429606,0.158724037,1.584685151,-1.51209672
0,-0.853923693,-1.446707852,0.631904678,-0.41820444,-1.536910597,-0.804116386,1.089648551,-0.045949791,0.830449327,-0.547685126
1,2.062676177,0.148788355,-1.927136481,0.420701106,2.986484972,-2.886732052,-0.634482066,3.437026909,-0.777786817,-0.252765816
0,-0.262593239,0.00140955,-0.139989527,-0.187563649,-0.278847671,-0.526085289,0.405837851,-0.160676901,-0.295394155,-1.469706219
0,0.448409539,0.095033595,-0.37705444,-0.294181455,-0.608398724,-0.154777883,-0.400226438,-0.063945384,-0.395183887,-0.979233593
1,0.06946227,0.222801261,-0.09190169,-0.048588447,-0.802402583,-0.216211053,0.059640605,-0.419481791,-0.511842467,0.91153347
1,0.84701091,-0.790048312,-0.819644819,0.307509669,0.5805422,-1.257779988,0.508770253,0.928252299,-0.270312014,1.028877788
0,0.131120206,0.281097144,0.270301327,-0.188625164,0.026068294,-0.287458378,-0.089814123,-0.770812335,-0.591380441,-0.246096477
